timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601127171482,57,UC7 change price,200,HTTP/1.1 200,UC7 2-1,true,,127,0,1,4,http://swa-kovacs-vm2.cs.univie.ac.at/sr/stockitem/store/200/300,52,0,0
1601127171543,9,UC7 change price,200,HTTP/1.1 200,UC7 2-1,true,,127,0,1,4,http://swa-kovacs-vm2.cs.univie.ac.at/sr/stockitem/store/200/300,9,0,0
1601127171482,69,UC5 show stock report,200,HTTP/1.1 200,UC5 1-1,true,,460,0,1,4,http://swa-kovacs-vm2.cs.univie.ac.at/sr/stockitemreport/200,67,0,0
1601127171483,69,UC3 order products,200,HTTP/1.1 200,UC3 3-1,true,,233,0,1,4,http://swa-kovacs-vm3.cs.univie.ac.at/oprop/store/201/order,67,0,0
1601127171552,8,UC7 change price,200,HTTP/1.1 200,UC7 2-1,true,,127,0,1,4,http://swa-kovacs-vm2.cs.univie.ac.at/sr/stockitem/store/200/300,8,0,0
1601127171555,5,UC3 order products,200,HTTP/1.1 200,UC3 3-1,true,,233,0,1,4,http://swa-kovacs-vm3.cs.univie.ac.at/oprop/store/201/order,5,0,0
1601127171553,9,UC5 show stock report,200,HTTP/1.1 200,UC5 1-1,true,,460,0,1,4,http://swa-kovacs-vm2.cs.univie.ac.at/sr/stockitemreport/200,5,0,0
1601127171560,3,UC7 change price,200,HTTP/1.1 200,UC7 2-1,true,,127,0,1,4,http://swa-kovacs-vm2.cs.univie.ac.at/sr/stockitem/store/200/300,3,0,0
1601127171516,52,UC4 receive order,200,HTTP/1.1 200,UC4 4-1,true,,118,0,1,5,http://swa-kovacs-vm3.cs.univie.ac.at/oprop/product-order/113,52,0,0
1601127171561,9,UC3 order products,200,HTTP/1.1 200,UC3 3-1,true,,233,0,1,5,http://swa-kovacs-vm3.cs.univie.ac.at/oprop/store/201/order,9,0,0
1601127171562,9,UC5 show stock report,200,HTTP/1.1 200,UC5 1-1,true,,460,0,1,5,http://swa-kovacs-vm2.cs.univie.ac.at/sr/stockitemreport/200,9,0,0
1601127171568,16,UC4 receive order,200,HTTP/1.1 200,UC4 4-1,true,,118,0,1,5,http://swa-kovacs-vm3.cs.univie.ac.at/oprop/product-order/113,16,0,0
