timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,"uuid"
1603650807592,51,UC7 change price,202,HTTP/1.1 202,UC7 2-1,true,,451,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/stores/200/stockitems/300?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,46,0,0,6401c6d0-2427-4adf-a118-322799ed8d8c
1603650807592,67,UC3 order products,202,HTTP/1.1 202,UC3 3-1,true,,416,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/stores/201/orders?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,65,0,0,9bcc9784-a8cd-4634-83cd-d173bc27c6a5
1603650807592,68,UC5 show stock report,202,HTTP/1.1 202,UC5 1-1,true,,381,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/stores/200/stock-item-reports?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,68,0,0,8a93d831-32ec-41b9-8211-2f1a4a01aa9d
1603650807592,78,UC4 receive order,202,HTTP/1.1 202,UC4 4-1,true,,453,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/stores/201/orders/113?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,78,0,0,12c329b1-860e-4948-9974-ba4d5bff980a
1603650807592,85,UC6 delivery reports,202,HTTP/1.1 202,UC6 5-1,true,,393,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/enterprises/901/delivery-reports?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,85,0,0,c93b1dea-ee72-4d91-8471-ba29b6f13a99
1603650807960,33,UC3 order products,202,HTTP/1.1 202,UC3 3-1,true,,416,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/stores/201/orders?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,32,0,0,7b399f6c-9c68-4644-8f01-033544d53ba0
1603650807961,34,UC5 show stock report,202,HTTP/1.1 202,UC5 1-1,true,,381,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/stores/200/stock-item-reports?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,33,0,0,e09b8067-ef67-4568-b028-cd9b5f35a7f4
1603650807949,50,UC7 change price,202,HTTP/1.1 202,UC7 2-1,true,,451,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/stores/200/stockitems/300?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,49,0,0,d6d5a63e-7abf-4d20-a4bc-5ba2e544ab1d
1603650807972,30,UC4 receive order,202,HTTP/1.1 202,UC4 4-1,true,,453,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/stores/201/orders/113?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,28,0,0,f0f72904-05c8-42de-9e5d-a848f505e725
1603650807978,34,UC6 delivery reports,202,HTTP/1.1 202,UC6 5-1,true,,393,0,1,5,http://swa-kovacs-vm1.cs.univie.ac.at/apigate/enterprises/901/delivery-reports?call_back=http://swa-gabrielkovacs.cs.univie.ac.at/webhook/data,33,0,0,cce6ab4f-9a40-4cb9-81a4-6bb78e1a5292
